,channel,position,unit
253,0,29168,[2]
254,0,29193,[37]
255,0,29216,[6]
256,0,29298,[4]
257,0,29320,[12]
258,0,29375,[30]
259,0,29409,[24]
260,0,29532,[42]
261,0,29657,[7]
262,0,29739,[2]
263,0,29777,[17]
264,0,29787,[18]
265,0,29802,[12]
266,0,29909,[43]
267,0,29945,[43]
268,0,30003,[12]
269,0,30079,[17]
270,0,30111,[20]
271,0,30248,[18]
272,0,30378,[23]
273,0,30409,[37]
274,0,30528,[38]
275,0,30543,[13]
276,0,30590,[32]
277,0,30694,[43]
278,0,30793,[20]
279,0,30847,[36]
280,0,30924,[8]
281,0,30975,[37]
282,0,31066,[6]
283,0,31094,[22]
284,0,31144,[20]
285,0,31175,[44]
286,0,31236,[8]
287,0,31248,[13]
288,0,31304,[43]
289,0,31325,[6]
290,0,31356,[28]
291,0,31368,[13]
292,0,31382,[37]
293,0,31498,[2]
294,0,31614,[8]
295,0,31669,[1]
296,0,31736,[37]
297,0,31806,[2]
298,0,31867,[12]
299,0,31929,[38]
300,0,31941,[9]
301,0,31999,[33]
302,0,32034,[38]
303,0,32079,[37]
304,0,32143,[22]
305,0,32184,[20]
306,0,32228,[30]
307,0,32290,[24]
308,0,32319,[39]
309,0,32422,[21]
310,0,32457,[8]
311,0,32535,[37]
312,0,32582,[39]
313,0,32605,[37]
314,0,32640,[20]
315,0,32663,[37]
316,0,32696,[42]
317,0,32753,[1]
318,0,32808,[16]
319,0,32908,[28]
320,0,32929,[22]
321,0,32982,[14]
322,0,33070,[37]
323,0,33125,[8]
324,0,33163,[43]
325,0,33252,[20]
326,0,33280,[6]
327,0,33456,[32]
328,0,33472,[6]
329,0,33560,[15]
330,0,33585,[12]
331,0,33640,[6]
332,0,33707,[17]
333,0,33724,[43]
334,0,33799,[12]
335,0,33841,[21]
336,0,33970,[5]
337,0,34003,[17]
338,0,34021,[12]
339,0,34073,[48]
340,0,34089,[1]
341,0,34101,[12]
342,0,34220,[5]
343,0,34255,[42]
344,0,34286,[20]
345,0,34304,[2]
346,0,34356,[14]
347,0,34388,[22]
348,0,34473,[37]
349,0,34516,[21]
350,0,34591,[6]
351,0,34646,[28]
352,0,34721,[2]
353,0,34799,[4]
354,0,34942,[39]
355,0,34968,[7]
356,0,35003,[37]
357,0,35106,[4]
358,0,35128,[17]
359,0,35138,[21]
360,0,35183,[43]
361,0,35289,[32]
362,0,35311,[44]
363,0,35342,[37]
364,0,35478,[1]
365,0,35494,[30]
366,0,35565,[47]
367,0,35612,[42]
368,0,35657,[20]
369,0,35749,[11]
370,0,35771,[37]
371,0,35844,[33]
372,0,35885,[44]
373,0,35994,[42]
374,0,36010,[18]
375,0,36060,[42]
376,0,36184,[22]
377,0,36264,[22]
378,0,36364,[22]
379,0,36433,[20]
380,0,36455,[1]
381,0,36521,[42]
382,0,36582,[22]
383,0,36598,[6]
384,0,36700,[43]
385,0,36732,[12]
386,0,36781,[37]
387,0,36814,[21]
388,0,36959,[44]
389,0,36972,[20]
390,0,37112,[48]
391,0,37172,[12]
392,0,37322,[25]
393,0,37386,[43]
394,0,37460,[44]
395,0,37520,[30]
396,0,37596,[33]
397,0,37630,[17]
398,0,37657,[46]
399,0,37683,[46]
400,0,37807,[22]
401,0,37863,[9]
402,0,37890,[32]
403,0,37924,[12]
404,0,38003,[43]
405,0,38068,[30]
406,0,38112,[22]
407,0,38226,[43]
408,0,38390,[37]
409,0,38476,[46]
410,0,38583,[21]
411,0,38616,[0]
412,0,38705,[28]
413,0,38731,[37]
414,0,38762,[20]
415,0,38852,[1]
416,0,38985,[14]
417,0,39017,[33]
418,0,39115,[37]
419,0,39164,[20]
420,0,39252,[24]
421,0,39338,[20]
422,0,39358,[5]
423,0,39456,[12]
424,0,39516,[7]
425,0,39551,[1]
426,0,39682,[6]
427,0,39719,[2]
428,0,39760,[37]
429,0,39796,[8]
430,0,39852,[18]
431,0,39933,[30]
432,0,39972,[38]
433,0,40105,[30]
434,0,40190,[4]
435,0,40212,[43]
436,0,40267,[8]
437,0,40323,[16]
438,0,40472,[4]
439,0,40492,[43]
440,0,40507,[30]
441,0,40565,[24]
442,0,40642,[44]
443,0,40727,[44]
444,0,40738,[5]
445,0,40774,[42]
446,0,40851,[29]
447,0,40876,[11]
448,0,40903,[46]
449,0,40937,[0]
450,0,40985,[30]
451,0,41028,[30]
452,0,41083,[32]
453,0,41104,[44]
454,0,41181,[28]
455,0,41254,[33]
456,0,41302,[1]
457,0,41386,[18]
458,0,41403,[22]
459,0,41462,[20]
460,0,41510,[22]
461,0,41605,[9]
462,0,41648,[10]
463,0,41718,[17]
464,0,41803,[2]
465,0,41844,[20]
466,0,41858,[21]
467,0,41893,[42]
468,0,41931,[32]
469,0,41950,[47]
470,0,42103,[20]
471,0,42126,[37]
472,0,42159,[10]
473,0,42202,[14]
474,0,42257,[20]
475,0,42283,[22]
476,0,42379,[20]
